x, y
660, 0.00502515256153549
920, 0.08542713348210652
1166.6668701171875, 0.21206030173872553
1413.3331298828125, 0.35276379135292457
1666.6668701171875, 0.4412060347745127
1913.3331298828125, 0.5658291834122775
2160, 0.6683417021850453
2160, 0.6542713808274655
2406.6668701171875, 0.724623125634565
2653.3331298828125, 0.7266331912598192
2660, 0.7889447195723016
2900, 0.7708542669642133
2906.6668701171875, 0.8291457560389872
3153.3331298828125, 0.8492462282659299
3153.3331298828125, 0.8231156051696242
