x, y
-0.01 1e-03
-0.00705263 1.37176013e-03
-0.00528421 6.35014e-03
-0.00410526 1.77771855e-02
-0.00233684 5.743684e-02
-0.00174737 7.78525143e-02
-0.00115789 1.01786223e-01
-0.00056842 1.28774281e-01
0.00010908841522462055 0.1628099161829016
0.000545452063694404 0.18450413174287567
0.0011272680421938273 0.2144627788468913
0.0015636316906636107 0.2382231259376944
0.001999995339133394 0.2661156888005182
0.0024363589876031768 0.296074383194171
0.003018181624483466 0.33119833548044053
0.003745449933012527 0.37355372447979274
0.004472724899922455 0.40971071888665817
0.0047636362183626 0.4407024554009069
0.005199999866832383 0.4592974973094561
0.005927268175361444 0.485123975931088
0.006654543142271372 0.5171487545659327
0.0073818181091812995 0.5481404910801814
0.008254545406120866 0.5873966827832902
0.00869090905459065 0.6059917246918394
0.009418177363119711 0.6214875929489638
0.010290904660059278 0.6473140479257773
0.011018179626969205 0.6659090898343264
0.012909086550877979 0.6989669342345856
0.01552726844169668 0.7392562035255181
0.018436361650955524 0.7650826466799223
0.021781811850303284 0.775413221577202
0.024399993741121985 0.7857438082968913
0.027163634620351193 0.7909090898343265
0.029636357522759386 0.7919421555997408
0.032109093741929315 0.792975209542746
0.03429091198427823 0.796074383194171
0.03661817589827592 0.7981405029025908
0.03850908948056556 0.7981405029025908
0.04010908508603419 0.8012396765540155
0.04272726697685289 0.8012396765540155
0.044036357922262244 0.7971074371371762
0.046509094141432165 0.7981405029025908
0.048981817043840366 0.7981405029025908
0.05029090798924971 0.800206610788601
0.05189090359471834 0.7991735568455958
0.05421818082547777 0.7991735568455958
0.05538181278247661 0.7991735568455958
0.05654545805623719 0.7991735568455958
0.05654545805623719 0.7991735568455958
0.058436358321765094 0.7991735568455958
0.0613454581894048 0.7981405029025908
0.0613454581894048 0.7981405029025908
0.06469090838875256 0.796074383194171
0.06861818122498062 0.7950413292511658
0.07210909041273889 0.792975209542746
0.07589090426055642 0.788842981948316
0.07850908615137513 0.7795454609940413
0.08010909507360549 0.7764462873426166
0.08243635898760317 0.7661157006229276
0.08650909081224173 0.7340909101656736
0.08810908641771036 0.7144628024917099
0.08912727270306042 0.6927685869317359
0.08985454101158949 0.6845041317428757
0.09203635925393841 0.6225206587143783
0.09232727723075942 0.6039256168058291
0.09320000452769898 0.5780991618290157
0.09392727283622805 0.5543388383830311
0.0946545411447571 0.5367768622398963
0.0952363637816374 0.5037190178396374
0.09596363209016646 0.44173554481113986
0.09669091371545725 0.3942148506295338
0.09698181837551653 0.3766528981312176
0.0977090866840456 0.32293385664676183
0.09843636830933639 0.2702479045725391
0.09930909560627596 0.20309917365142482
0.09974545925474573 0.1628099161829016
