Energy (MeV), PSL per electron
0.005176449381630552, 0.002045272149343728
0.00564068891802672, 0.002248993591763754
0.0061970460685880175, 0.002489836558690403
0.006670468006483896, 0.002700952438358363
0.007268695622862155, 0.0029399218630045717
0.007920574089622979, 0.003221811647738853
0.008560604645708377, 0.003494992470698018
0.009214590108471789, 0.0037657096699581926
0.009918536643286388, 0.004043660341058499
0.010632685886139092, 0.004342126819891262
0.011444967528318507, 0.004694354111372017
0.01236979050814845, 0.0050408489264257865
0.013314777866467061, 0.005394593973546809
0.014331957321070062, 0.005832195937459135
0.015553548397007282, 0.006305295564357583
0.01701789585086199, 0.0068167723753169976
0.01854411189158638, 0.007394773727047582
0.02020720357330528, 0.008021784425754762
0.022200297389368632, 0.0087315196960373
0.024489931287532005, 0.009633846127474172
0.02723759380198783, 0.010629420128316299
0.030417681639345308, 0.011727878021846543
0.03369233292766323, 0.01289604541116112
0.0376260349622255, 0.014180569318416623
0.043416560713472774, 0.01596761522965932
0.05663805724923701, 0.019905315802795264
0.06429401024607438, 0.02181390570694441
0.07150751524872481, 0.023583419413586
0.07953034376726902, 0.025238402122549873
0.08845329833849573, 0.02682695795279726
0.09757595407270057, 0.028322754854983232
0.11076561760079097, 0.030003527134769843
0.12625347464524503, 0.030724271245671446
0.1462805218132428, 0.030310323694479727
0.1667342678339346, 0.02861236493022487
0.18468424151841462, 0.02619763881278324
0.20624679636352866, 0.02366352988257211
0.2256646785992463, 0.021374546404928196
0.24590296512546442, 0.019306977288832496
0.26795628200583343, 0.01749864490648496
0.29318403642456875, 0.015752483838263984
0.3142937187455822, 0.014472054570075365
0.34670848958393696, 0.0131611269433386
0.3747246440794373, 0.012091334248191565
0.41337197535223175, 0.011033412811112808
0.45787402148748896, 0.010171002715223237
0.5092454716730113, 0.009568727731560953
0.5852183557724624, 0.00897164065753908
0.6562230934385409, 0.008383334389687105
0.7449269332735905, 0.007701901110479853
0.8525664562286129, 0.007051903048076339
0.9757595407270057, 0.006478694203560512
1.1259257953769408, 0.005992584110986938
1.3098728172426504, 0.005618647824676129
1.5176523240539082, 0.0054129188587397304
1.7512141349834176, 0.005285940114182054
2.029001722066655, 0.005197068826134943
2.379875149020154, 0.005109691710490194
2.8143514509781786, 0.005109691710490194
3.3830411656257615, 0.005109691710490194
3.951871749294901, 0.005109691710490194
4.673335908518951, 0.005109691710490194
5.57190306561936, 0.005109691710490194
6.5891244269229565, 0.005127048811770681
7.792052410489429, 0.005127048811770681
8.91797868170075, 0.005161940095518894
9.959185028548465, 0.005161940095518894
